date,total_events,new_repos
2022-10-23,611209,240281
2022-10-24,753097,229614
2022-10-25,750953,246932
2022-10-26,697145,228048
2022-10-27,645805,207971
2022-10-28,540680,162367
2022-10-29,546869,137534
2022-10-30,605761,149791
2022-10-31,646974,183513
2022-11-01,605466,161856
2022-11-02,557134,166902
2022-11-03,545160,174132
2022-11-04,502606,160607
2022-11-05,387248,137187
2022-11-06,417881,144623
2022-11-07,587588,171242
2022-11-08,687688,173066
2022-11-09,610705,167958
2022-11-10,692090,171624
2022-11-11,576880,165460
2022-11-12,494717,135031
2022-11-13,476144,132149
2022-11-14,650538,170441
2022-11-15,569148,171084
2022-11-16,648490,163799
2022-11-17,598169,169305
2022-11-18,726453,149044
2022-11-19,635977,132733
2022-11-20,395805,131032
2022-11-21,613077,171616
2022-11-22,654430,134541
2022-11-23,831127,161201
2022-11-24,548935,163882
2022-11-25,457234,148737
2022-11-26,373956,134426
2022-11-27,394412,140268
2022-11-28,601566,172099
2022-11-29,572723,179218
2022-11-30,573078,183256
2022-12-01,587942,173383
2022-12-02,514700,143298
2022-12-03,648339,139455
2022-12-04,989696,136516
2022-12-05,1025140,154541
2022-12-06,1126966,154299
2022-12-07,1132303,151703
2022-12-08,926056,151848
2022-12-09,886723,147214
2022-12-10,1246808,129043
2022-12-11,1297084,131001
2022-12-12,1011028,151015
2022-12-13,853984,158748
2022-12-14,810902,158462
2022-12-15,543603,164230
2022-12-16,448511,116627
2022-12-17,372320,127937
2022-12-18,347192,122561
2022-12-19,536830,147998
2022-12-20,470030,145867
2022-12-21,495419,153000
2022-12-22,621522,148645
2022-12-23,443148,140891
2022-12-24,318008,115503
2022-12-25,285884,100429
2022-12-26,459132,131171
2022-12-27,439642,143653
2022-12-28,446975,142141
2022-12-29,435030,139847
2022-12-30,493424,127906
2022-12-31,357695,99303
2023-01-01,618000,88340
2023-01-02,497080,137626
2023-01-03,545901,152378
2023-01-04,759783,148143
2023-01-05,820926,139286
2023-01-06,744633,136783
2023-01-07,751178,122030
2023-01-08,420728,126850
2023-01-09,616886,146082
2023-01-10,533643,156566
2023-01-11,623182,153302
2023-01-12,537880,160431
2023-01-13,519742,154429
2023-01-14,398781,127793
2023-01-15,384234,130012
2023-01-16,573143,152704
2023-01-17,545451,168590
2023-01-18,593786,160171
2023-01-19,673534,158872
2023-01-20,520468,153230
2023-01-21,369251,128814
2023-01-22,365296,128668
2023-01-23,549327,151534
2023-01-24,644351,164213
2023-01-25,552464,164154
2023-01-26,549538,153314
2023-01-27,547237,159018
2023-01-28,383738,135699
2023-01-29,399766,138470
2023-01-30,610860,173706
2023-01-31,588849,177138
2023-02-01,673813,169605
2023-02-02,635582,170853
2023-02-03,576152,170490
2023-02-04,453547,141992
2023-02-05,395417,134947
2023-02-06,580728,163221
2023-02-07,623666,195941
2023-02-08,624062,191640
2023-02-09,592366,183936
2023-02-10,546410,170990
2023-02-11,421700,139015
2023-02-12,419037,138605
2023-02-13,612030,174262
2023-02-14,572525,172095
2023-02-15,588989,178592
2023-02-16,602910,183797
2023-02-17,542448,173363
2023-02-18,388870,137261
2023-02-19,410108,149504
2023-02-20,611103,175478
2023-02-21,577923,182494
2023-02-22,581864,182050
2023-02-23,585759,180583
2023-02-24,567437,171308
2023-02-25,457454,149619
2023-02-26,387035,135313
2023-02-27,519496,143914
2023-02-28,614946,188370
2023-03-01,640974,183119
2023-03-02,619545,186850
2023-03-03,565534,157054
2023-03-04,461593,140447
2023-03-05,437296,144004
2023-03-06,606577,170580
2023-03-07,627472,188060
2023-03-08,556404,172985
2023-03-09,684412,172150
2023-03-10,509040,162527
2023-03-11,489758,147839
2023-03-12,399893,140602
2023-03-13,600430,174768
2023-03-14,602931,185216
2023-03-15,589934,171079
2023-03-16,573936,171387
2023-03-17,486350,154290
2023-03-18,403275,139546
2023-03-19,397106,140631
2023-03-20,565067,164087
2023-03-21,532292,166422
2023-03-22,512933,159866
2023-03-23,530904,159828
2023-03-24,535218,155742
2023-03-25,429926,147186
2023-03-26,410501,145613
2023-03-27,521239,154646
2023-03-28,543326,171412
2023-03-29,546985,171477
2023-03-30,519826,162820
2023-03-31,519138,162890
2023-04-01,420050,136181
2023-04-02,407263,143643
2023-04-03,533134,158662
2023-04-04,552705,171154
2023-04-05,540171,173762
2023-04-06,511380,164176
2023-04-07,477388,153220
2023-04-08,377439,131996
2023-04-09,377610,132335
2023-04-10,546320,162875
2023-04-11,473730,148343
2023-04-12,660637,167997
2023-04-13,524079,163492
2023-04-14,524843,162608
2023-04-15,393872,136197
2023-04-16,390733,134482
2023-04-17,553734,161683
2023-04-18,543410,171677
2023-04-19,562437,173477
2023-04-20,571899,164896
2023-04-21,590797,150798
2023-04-22,393455,127464
2023-04-23,393048,130972
2023-04-24,542992,157734
2023-04-25,541316,168556
2023-04-26,534226,169198
2023-04-27,517612,164991
2023-04-28,497688,159263
2023-04-29,390568,135829
2023-04-30,386753,130390
2023-05-01,586419,147712
2023-05-02,518120,160597
2023-05-03,526273,164687
2023-05-04,523444,162327
2023-05-05,505268,155697
2023-05-06,451223,132376
2023-05-07,474359,131521
2023-05-08,572821,159981
2023-05-09,540454,160403
2023-05-10,521994,160764
2023-05-11,522025,165585
2023-05-12,496793,156130
2023-05-13,380295,132460
2023-05-14,362708,128941
2023-05-15,547130,167244
2023-05-16,544237,171524
2023-05-17,525917,167505
2023-05-18,518367,167491
2023-05-19,485660,154580
2023-05-20,380921,135984
2023-05-21,383976,136903
2023-05-22,577917,165904
2023-05-23,547397,166343
2023-05-24,537079,168159
2023-05-25,521748,161720
2023-05-26,520639,165169
2023-05-27,387098,136988
2023-05-28,387151,136738
